product_id,seller_id,title,current_price,was_price,location,image_url,image_path,product_url,tags,description,details_json,state,desirability,photo_appeal,issues,desc_match,new_price,sell_price,offer_price,full_caption
8007149846588,7473635622972,,"₪1,800",,בית שמש,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1NiIgaGVpZ2h0PSI1NiIgdmlld0JveD0iMCAwIDU2IDU2IiBmaWxsPSJub25lIj48cGF0aCBmaWxsLXJ1bGU9ImV2ZW5vZGQiIGNsaXAtcnVsZT0iZXZlbm9kZCIgZD0iTTkuMzMzNSAxMS4wODMzQzkuMzMzNSAxMC4xMTY4IDEwLjExNyA5LjMzMzI1IDExLjA4MzUgOS4zMzMyNUg0My40MTY3QzQ0LjM4MzQgOS4zMzMyNSA0NS4xNjY3IDEwLjExNjggNDUuMTY2NyAxMS4wODMzVjQzLjQxNjVDNDUuMTY2NyA0NC4zODMyIDQ0LjM4MzQgNDUuMTY2NSA0My40MTY3IDQ1LjE2NjVIMTEuMDgzNUMxMC4xMTcgNDUuMTY2NSA5LjMzMzUgNDQuMzgzMiA5LjMzMzUgNDMuNDE2NVYxMS4wODMzWk00MS42NjY3IDEyLjgzMzNWMjguNDM1OEwzNC45ODAzIDIzLjYzNTZDMzQuNDQ5NSAyMy4yMjY5IDMzLjc5NjQgMjMuMDA3NyAzMy4xMjU2IDIzLjAxNEMzMi40MzYxIDIzLjAyMDYgMzEuNzcwMSAyMy4yNjQ5IDMxLjI0IDIzLjcwNTdDMzEuMjE2MiAyMy43MjU1IDMxLjE5MjkgMjMuNzQ1OSAzMS4xNyAyMy43NjdMMTIuODMzNSA0MC43Mzg1VjEyLjgzMzNINDEuNjY2N1pNNDEuNjY2NyA0MS42NjY1SDE2Ljk4MzVMMzMuMTk0NiAyNi42NjIyTDQxLjY2NjcgMzIuNzQ0M1Y0MS42NjY1Wk0yMC40MTA0IDE0LjMwNzZDMTguNzkxOSAxNC4zMDc2IDE3LjIzOTcgMTQuOTUwNiAxNi4wOTUyIDE2LjA5NUMxNC45NTA4IDE3LjIzOTQgMTQuMzA3OSAxOC43OTE3IDE0LjMwNzkgMjAuNDEwMkMxNC4zMDc5IDIyLjAyODcgMTQuOTUwOCAyMy41ODA5IDE2LjA5NTIgMjQuNzI1M0MxNy4yMzk3IDI1Ljg2OTggMTguNzkxOSAyNi41MTI3IDIwLjQxMDQgMjYuNTEyN0MyMi4wMjg5IDI2LjUxMjcgMjMuNTgxMSAyNS44Njk4IDI0LjcyNTYgMjQuNzI1M0MyNS44NyAyMy41ODA5IDI2LjUxMyAyMi4wMjg3IDI2LjUxMyAyMC40MTAyQzI2LjUxMyAxOC43OTE3IDI1Ljg3IDE3LjIzOTQgMjQuNzI1NiAxNi4wOTVDMjMuNTgxMSAxNC45NTA2IDIyLjAyODkgMTQuMzA3NiAyMC40MTA0IDE0LjMwNzZaTTE4LjU3MDEgMTguNTY5OUMxOS4wNTgyIDE4LjA4MTggMTkuNzIwMiAxNy44MDc2IDIwLjQxMDQgMTcuODA3NkMyMS4xMDA3IDE3LjgwNzYgMjEuNzYyNiAxOC4wODE4IDIyLjI1MDcgMTguNTY5OUMyMi43Mzg4IDE5LjA1OCAyMy4wMTMgMTkuNzE5OSAyMy4wMTMgMjAuNDEwMkMyMy4wMTMgMjEuMTAwNCAyMi43Mzg4IDIxLjc2MjQgMjIuMjUwNyAyMi4yNTA1QzIxLjc2MjYgMjIuNzM4NSAyMS4xMDA3IDIzLjAxMjcgMjAuNDEwNCAyMy4wMTI3QzE5LjcyMDIgMjMuMDEyNyAxOS4wNTgyIDIyLjczODUgMTguNTcwMSAyMi4yNTA1QzE4LjA4MjEgMjEuNzYyNCAxNy44MDc5IDIxLjEwMDQgMTcuODA3OSAyMC40MTAyQzE3LjgwNzkgMTkuNzE5OSAxOC4wODIxIDE5LjA1OCAxOC41NzAxIDE4LjU2OTlaIiBmaWxsPSIjRENEQ0RDIi8+PC9zdmc+","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1NiIgaGVpZ2h0PSI1NiIgdmlld0JveD0iMCAwIDU2IDU2IiBmaWxsPSJub25lIj48cGF0aCBmaWxsLXJ1bGU9ImV2ZW5vZGQiIGNsaXAtcnVsZT0iZXZlbm9kZCIgZD0iTTkuMzMzNSAxMS4wODMzQzkuMzMzNSAxMC4xMTY4IDEwLjExNyA5LjMzMzI1IDExLjA4MzUgOS4zMzMyNUg0My40MTY3QzQ0LjM4MzQgOS4zMzMyNSA0NS4xNjY3IDEwLjExNjggNDUuMTY2NyAxMS4wODMzVjQzLjQxNjVDNDUuMTY2NyA0NC4zODMyIDQ0LjM4MzQgNDUuMTY2NSA0My40MTY3IDQ1LjE2NjVIMTEuMDgzNUMxMC4xMTcgNDUuMTY2NSA5LjMzMzUgNDQuMzgzMiA5LjMzMzUgNDMuNDE2NVYxMS4wODMzWk00MS42NjY3IDEyLjgzMzNWMjguNDM1OEwzNC45ODAzIDIzLjYzNTZDMzQuNDQ5NSAyMy4yMjY5IDMzLjc5NjQgMjMuMDA3NyAzMy4xMjU2IDIzLjAxNEMzMi40MzYxIDIzLjAyMDYgMzEuNzcwMSAyMy4yNjQ5IDMxLjI0IDIzLjcwNTdDMzEuMjE2MiAyMy43MjU1IDMxLjE5MjkgMjMuNzQ1OSAzMS4xNyAyMy43NjdMMTIuODMzNSA0MC43Mzg1VjEyLjgzMzNINDEuNjY2N1pNNDEuNjY2NyA0MS42NjY1SDE2Ljk4MzVMMzMuMTk0NiAyNi42NjIyTDQxLjY2NjcgMzIuNzQ0M1Y0MS42NjY1Wk0yMC40MTA0IDE0LjMwNzZDMTguNzkxOSAxNC4zMDc2IDE3LjIzOTcgMTQuOTUwNiAxNi4wOTUyIDE2LjA5NUMxNC45NTA4IDE3LjIzOTQgMTQuMzA3OSAxOC43OTE3IDE0LjMwNzkgMjAuNDEwMkMxNC4zMDc5IDIyLjAyODcgMTQuOTUwOCAyMy41ODA5IDE2LjA5NTIgMjQuNzI1M0MxNy4yMzk3IDI1Ljg2OTggMTguNzkxOSAyNi41MTI3IDIwLjQxMDQgMjYuNTEyN0MyMi4wMjg5IDI2LjUxMjcgMjMuNTgxMSAyNS44Njk4IDI0LjcyNTYgMjQuNzI1M0MyNS44NyAyMy41ODA5IDI2LjUxMyAyMi4wMjg3IDI2LjUxMyAyMC40MTAyQzI2LjUxMyAxOC43OTE3IDI1Ljg3IDE3LjIzOTQgMjQuNzI1NiAxNi4wOTVDMjMuNTgxMSAxNC45NTA2IDIyLjAyODkgMTQuMzA3NiAyMC40MTA0IDE0LjMwNzZaTTE4LjU3MDEgMTguNTY5OUMxOS4wNTgyIDE4LjA4MTggMTkuNzIwMiAxNy44MDc2IDIwLjQxMDQgMTcuODA3NkMyMS4xMDA3IDE3LjgwNzYgMjEuNzYyNiAxOC4wODE4IDIyLjI1MDcgMTguNTY5OUMyMi43Mzg4IDE5LjA1OCAyMy4wMTMgMTkuNzE5OSAyMy4wMTMgMjAuNDEwMkMyMy4wMTMgMjEuMTAwNCAyMi43Mzg4IDIxLjc2MjQgMjIuMjUwNyAyMi4yNTA1QzIxLjc2MjYgMjIuNzM4NSAyMS4xMDA3IDIzLjAxMjcgMjAuNDEwNCAyMy4wMTI3QzE5LjcyMDIgMjMuMDEyNyAxOS4wNTgyIDIyLjczODUgMTguNTcwMSAyMi4yNTA1QzE4LjA4MjEgMjEuNzYyNCAxNy44MDc5IDIxLjEwMDQgMTcuODA3OSAyMC40MTAyQzE3LjgwNzkgMTkuNzE5OSAxOC4wODIxIDE5LjA1OCAxOC41NzAxIDE4LjU2OTlaIiBmaWxsPSIjRENEQ0RDIi8+PC9zdmc+",https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-חשמלי-xiaomi-scooter-5,,"הקורקינט נרכש לפני חודש ברשת מחסני חשמל חדש לגמרי !!
המפרט :
35,000 מטר טווח נסיעה

טעינה מהירה תוך פחות מ 5 שעות
מערכת BMS הכוללת 6 הגנות לבטיחות הסוללה

מערכת בלמים כפולה E-ABS

צמיגים פניאומטיים בקוטר 10 אינץ'
ללא פנימית

מנוע עוצמתי עם 3 מצבי נהיגה 
ידיות סיליקון נגד החלקה 
משטח דריכה רחב
מאוד יציב בירידות (שיפוע 16)
מתקפל בקלות ומאוד קל לסחוב
נעילה דיגיטלית ותמונת מצב בזמן אמת באפליקצייה","{""מצב המוצר"": ""חדש באריזה"", ""ישוב"": ""בית שמש"", ""קטגוריה"": ""קורקינטים חשמליים""}",n,n,n,nan,n,nan,nan,nan,nan
8001973747772,7461945409596,,"₪1,200",,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010648_20250503095440_large.jpg?v=1746256736,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010648_20250503095440_large.jpg?v=1746256736,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אפניים-שיכוך-מלא-קפיץ,,"🚴♂️ למכירה: אופניים עם שיכוך מלא + ציוד חדש! 🔧
אופניים במצב מעולה – רכיבה חלקה, נוחה ובטוחה!מושלמות לעיר  🏙️
✨ מפרט:🔸 שיכוך מלא + קפיץ🔸 מעצורי דיסק מכניים🔸 הילוכים מכוונים🔸 מושב חדש להרכבה","{""מצב המוצר"": ""כמו חדש"", ""סוג אופניים"": ""אופני הרים/שטח"", ""מתקפל"": ""לא"", ""מיועד עבור"": ""יוניסקס"", ""מערכת מתלים"": ""שיכוך מלא"", ""וינטג'"": ""לא"", ""קוטר גלגל"": ""26''"", ""ישוב"": ""תל אביב יפו"", ""קטגוריה"": ""אופניים (לא חשמלי)""}",4,4,4,"rust on chain, dirty frame, worn tires, bent rear wheel, misaligned cables, scratched paint",4,2200,850,600,"4  
4  
4  
rust on chain, dirty frame, worn tires, bent rear wheel, misaligned cables, scratched paint  
4  
2200  
850  
600"
8005099782204,6715212955708,,"₪1,450",,מודיעין מכבים רעות,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010527_20250507125811_large.jpg?v=1746612303,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010527_20250507125811_large.jpg?v=1746612303,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-נורקו-xs,,"🚴♂️ אופני Norco 27.5 למכירה! 🚴♀️
🔧 במצב מעולה – שמורות ומתוחזקות היטב📏 מתאימות לילדים ובני נוער בגובה 150–160 ס""מ✅ שלדה איכותית, רכיבה נוחה ובטוחה🛞 גלגלים בקוטר 27.5 אינץ' – אידיאלי לרכיבת שטח 
לסרטון המוצר לחצו פה","{""מצב המוצר"": ""כמו חדש"", ""יצרן"": ""NORCO"", ""סוג אופניים"": ""אופני הרים/שטח"", ""מתקפל"": ""לא"", ""מיועד עבור"": ""ילדים"", ""מערכת מתלים"": ""זנב קשיח"", ""וינטג'"": ""לא"", ""קוטר גלגל"": ""27.5''"", ""ישוב"": ""מודיעין מכבים רעות"", ""קטגוריה"": ""אופניים (לא חשמלי)""}",8,7,8,"minor scratches, chain appears slightly used",9,3200,1300,950,"8  
7  
8  
minor scratches, chain appears slightly used  
9  
3200  
1300  
950"
7994176962620,7444337000508,,"₪1,550","₪1,690",גבעת זאב,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010127_20250508183535_large.jpg?v=1746719196,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010127_20250508183535_large.jpg?v=1746719196,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-חשמלי-rider-13,,"קורקינט במצב מעולה, חדש ממש נוח ובטוח לנסיעה, נמכר עקב קניית רכב.
מגיע עם מטען מקורי לקורקינט כמובן, ועם מפרט על כל מה שצריך לדעת על הקורקינט החשמלית.
יאללה כל הקודם זוכה!","{""מצב המוצר"": ""כמו חדש"", ""יצרן"": ""Rider"", ""עוצמת סוללה"": ""36v"", ""מתקפל"": ""כן"", ""ייעוד המוצר"": ""רגיל"", ""סוג כלי"": ""קורקינט"", ""ישוב"": ""גבעת זאב"", ""קטגוריה"": ""קורקינטים חשמליים""}",8,7,5,"dark photo, details unclear, unable to verify condition",4,~2700,1600,950,"8  
7  
5  
dark photo, details unclear, unable to verify condition  
4  
~2700  
1600  
950"
7992712593468,6998729064508,,"₪1,300","₪1,800",שדרות,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010297_20250508215635_large.jpg?v=1746730624,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010297_20250508215635_large.jpg?v=1746730624,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופני-כביש-colnago-מידה-l,,"אופני כביש מידה S מתאים לגובה 155-167, דגם טרק TREK דגם נחשב ופופלרי מאד, מתאימות מאד גם לכניסה לטריאתלון . שמורות במצב מצוין .
האופנים ימסרו עם כל הציוד הנלווה- קסדה כפפות קליטים. 
אלו אופני כביש למעריכים איכות וקידמה בשילוב 20 הילוכים.","{""מצב המוצר"": ""כמו חדש"", ""יצרן"": ""Trek - טרק"", ""סוג אופניים"": ""אופני כביש וטריאתלון"", ""מיועד עבור"": ""יוניסקס"", ""וינטג'"": ""לא"", ""ישוב"": ""שדרות"", ""קטגוריה"": ""אופניים (לא חשמלי)""}",8,8,8,"dirty chain, light scuffs, bar tape doesn't match, minor paint chips",9,4200,1800,1000,"8  
8  
8  
dirty chain, light scuffs, bar tape doesn't match, minor paint chips  
9  
4200  
1800  
1000"
7995015495740,7117038354492,,"₪1,600","₪2,000",גני תקווה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010661_20250509164339_large.jpg?v=1746798254,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010661_20250509164339_large.jpg?v=1746798254,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/טרק-מרלין-7-small-גיל-15-11,,"Trek Marlin 7 גובה רוכב 137 ס""מ עד 155 ס""מ גודל גלגלים 27.5 שלדת אלומיניום 13.5 XS, משקל האופניים 14 ק""ג הילוכים Shimano Altus M2000 / Shimano Acera M3000 מעצורים Tektro HD-276 hydraulic disc אופניים במצב חדש, גיל 10 עד 15, מעולה לילדים בכיתה ו' עד ט'. מרלין 7 הדגם הטוב ביותר של טרק .","{""מצב המוצר"": ""כמו חדש"", ""סוג אופניים"": ""אופני הרים/שטח"", ""יצרן"": ""Trek - טרק"", ""מיועד עבור"": ""ילדים"", ""מערכת מתלים"": ""זנב קשיח"", ""קוטר גלגל"": ""27.5''"", ""ישוב"": ""גני תקווה"", ""קטגוריה"": ""אופניים (לא חשמלי)""}",,,,,,,,,"






"
8006168543292,7471931916348,,"₪2,000",,בת ים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010940_20250508105545_large.jpg?v=1746691198,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010940_20250508105545_large.jpg?v=1746691198,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/scrambler-ducati-citi-cross-e,,"Scrambler Ducati Citi Cross-E UP, 2300 km, never felt, never parked outside, comes with helmet. Selling because I switched to another scooter. Write me via WhatsApp. En/Ru.","{""מצב המוצר"": ""כמו חדש"", ""עוצמת סוללה"": ""36v"", ""מתקפל"": ""כן"", ""ייעוד המוצר"": ""שטח"", ""סוג כלי"": ""קורקינט"", ""ישוב"": ""בת ים"", ""קטגוריה"": ""קורקינטים חשמליים""}",8,8,7,"minor scratches on deck, possible wear on tires",9,4000,2600,1700,"8  
8  
7  
minor scratches on deck, possible wear on tires  
9  
4000  
2600  
1700"
8006426787900,7472346005564,,"₪2,000",,נצרת,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010030_20250509003320_large.jpg?v=1746740044,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010030_20250509003320_large.jpg?v=1746740044,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/rockridersr540s,,,"{""מצב המוצר"": ""כמו חדש"", ""ישוב"": ""נצרת"", ""קטגוריה"": ""אופניים (לא חשמלי)""}",6,7,6,"scratches on frame, worn saddle, dirty drivetrain, reflector missing, seat angle odd",1,3200,1700,1100,"6  
7  
6  
scratches on frame, worn saddle, dirty drivetrain, reflector missing, seat angle odd  
1  
3200  
1700  
1100"
7437325664316,6670384726076,,"₪1,950",,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010218_20250212231932_large.jpg?v=1739395199,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010218_20250212231932_large.jpg?v=1739395199,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליים-מעולות,,אופניים חשמליות שיכוח מלא 48 וולט 15 אמפר של חברת TS (בין החברות הכי טובות בשוק) במצב מצויין כמו חדשות כולל בולם זעזועים סוללה מצויינת שמחזיקה לטווח ארוך מאוד כיסא רחב מעצורים מצויינים סבל פנס מטען ועוד מתקפלים וקומפקטיים נוחות וקלות אופניים שעלו בסביבות 3800 ונמכרות כמעט בפחות מחצי מחיר מוכר עקב אי שימוש כול הקודם זוכה.,"{""מצב המוצר"": ""כמו חדש"", ""ישוב"": ""תל אביב יפו"", ""קטגוריה"": ""אופניים חשמליים""}",8,8,8,"no visible issues, a bit dusty, possible wear on tires",10,3800,2200,1400,"8  
8  
8  
no visible issues, a bit dusty, possible wear on tires  
10  
3800  
2200  
1400"
8008148222012,7475163103292,,"₪1,000",,רחובות,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010980_20250510155449_large.jpg?v=1746881717,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010980_20250510155449_large.jpg?v=1746881717,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-מתקפלים-82,,אופניים מתקפלים מצב חדש נסעו שלוש פעמים נמכר עקב חוסר שימוש 7 הילוכים שלדת אלומיניום קלים במיוחד נוסעות מדהים,"{""מצב המוצר"": ""כמו חדש"", ""סוג אופניים"": ""אופני עיר"", ""מתקפל"": ""כן"", ""מיועד עבור"": ""יוניסקס"", ""ישוב"": ""רחובות"", ""קטגוריה"": ""אופניים (לא חשמלי)""}",8,7,7,"helmet covers handlebar, rear tire possibly under-inflated, missing some visible accessories",9,1800,1300,750,"8  
7  
7  
helmet covers handlebar, rear tire possibly under-inflated, missing some visible accessories  
9  
1800  
1300  
750"
