title,model_details,year,agency,price,monthly_payment,link,image_path
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2018-2022],2021 • יד 1,,"141,000 ₪",,https://www.yad2.co.il://item/57r6aftt,https://img.yad2.co.il/Pic/202505/06/1_3/o/y2_1pa_010113_20250506100232.jpeg?w=3840&h=3840&c=9
סובארו אאוטבק,2.5XS אוט׳ 2.5 (175 כ״ס),2018 • יד 2,,"80,900 ₪",,https://www.yad2.co.il://item/wr086qof,https://img.yad2.co.il/Pic/202505/09/1_1/o/y2_1pa_010371_20250509124034.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6I אוט׳ 1.6 (114 כ״ס),2014 • יד 3,,"1,500 ₪",,https://www.yad2.co.il://item/gx2ob7pr,https://img.yad2.co.il/Pic/202502/28/1_1/o/y2_1pa_010740_20250228102104.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstrek PL אוט׳ 2.0 (152 כ״ס),2022 • יד 2,,"115,000 ₪",,https://www.yad2.co.il://item/dmayrss0,https://img.yad2.co.il/Pic/202504/24/1_1/o/y2_1pa_010493_20250424114623.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2020 • יד 1,,"115,000 ₪",,https://www.yad2.co.il://item/6pg9xxvc,https://img.yad2.co.il/Pic/202505/04/1_3/o/y2_1pa_010443_20250504123141.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 2,,"110,000 ₪",,https://www.yad2.co.il://item/8igs76uo,https://img.yad2.co.il/Pic/202505/03/1_3/o/y2_1pa_010796_20250503233141.jpeg?w=3840&h=3840&c=9
סובארו XV,Premium אוט׳ 1.6 (114 כ״ס) [2016-2019],2017 • יד 1,,"2,000 ₪",,https://www.yad2.co.il://item/jysmcsfj,https://img.yad2.co.il/Pic/202504/14/1_1/o/y2_1pa_010832_20250414100417.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (150 כ״ס) [2011-2016],2013 • יד 2,,"43,300 ₪",,https://www.yad2.co.il://item/seffx4bl,https://img.yad2.co.il/Pic/202504/26/1_3/o/y2_1pa_010889_20250426202645.jpeg?w=3840&h=3840&c=9
סובארו XV,Crosstyle אוט׳ 2.0 (152 כ״ס),2021 • יד 2,,"108,000 ₪",,https://www.yad2.co.il://item/ecu26d0g,https://img.yad2.co.il/Pic/202504/23/1_1/o/y2_1_02404_20250423111124.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0 Eyesight אוט׳ 2.0 (156 כ״ס),2018 • יד 1,,"62,000 ₪",,https://www.yad2.co.il://item/keoxythr,https://img.yad2.co.il/Pic/202505/09/1_1/o/y2_1_01571_20250509091201.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,XT אוט׳ 2.5 (230 כ״ס) [2008-2010],2010 • יד 3,,"2,000 ₪",,https://www.yad2.co.il://item/99dhmli9,https://img.yad2.co.il/Pic/202409/19/1_3/o/y2_1pa_010384_20240919172042.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2021-2025],2022 • יד 1,,"150,000 ₪",,https://www.yad2.co.il://item/2k6a37om,https://img.yad2.co.il/Pic/202504/02/1_3/o/y2_1pa_010140_20250402235750.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2019 • יד 1,,"10,000 ₪",,https://www.yad2.co.il://item/zdp5nbbu,https://img.yad2.co.il/Pic/202504/19/1_3/o/y2_1pa_010765_20250419172824.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2016-2018],2016 • יד 3,,"2,000 ₪",,https://www.yad2.co.il://item/qtcamqi7,https://img.yad2.co.il/Pic/202504/19/1_1/o/y2_1pa_010042_20250419083530.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,XT אוט׳ 2.0 (177 כ״ס),2004 • יד 2,,"23,000 ₪",,https://www.yad2.co.il://item/bugk5tjw,https://img.yad2.co.il/Pic/202504/19/1_3/o/y2_1pa_010540_20250419104715.jpeg?w=3840&h=3840&c=9
סובארו XV,2.0 Classic אוט׳ 2.0 (156 כ״ס),2018 • יד 1,,"11,000 ₪",,https://www.yad2.co.il://item/zyvca18a,https://img.yad2.co.il/Pic/202504/01/1_1/o/y2_1_09872_20250401113501.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,Sport אוט׳ 2.5 (182 כ״ס) [2021-2025],2022 • יד 3,,"154,500 ₪",,https://www.yad2.co.il://item/erbjmrpt,https://img.yad2.co.il/Pic/202504/16/1_3/o/y2_1pa_010891_20250416162626.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,2.0Z ידני 2.0 (150 כ״ס),2017 • יד 1,,"58,000 ₪",,https://www.yad2.co.il://item/5fuwlx33,https://img.yad2.co.il/Pic/202503/30/1_3/o/y2_1pa_010473_20250330122104.jpeg?w=3840&h=3840&c=9
סובארו אבולטיס/אסנט,Luxury אוט׳ 2.4 (260 כ״ס),2024 • יד 1,,"282,500 ₪",,https://www.yad2.co.il://item/yklrqaut,https://img.yad2.co.il/Pic/202504/14/1_3/o/y2_1pa_010333_20250414233035.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.0 (158 כ״ס),2008 • יד 1,,"5,000 ₪",,https://www.yad2.co.il://item/t1h8dgb9,https://img.yad2.co.il/Pic/202503/28/1_3/o/y2_1pa_010468_20250328120658.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2015 • יד 3,,"39,000 ₪",,https://www.yad2.co.il://item/7ol4nw6l,
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2021 • יד 1,,"128,900 ₪",,https://www.yad2.co.il://item/6dnijvog,
סובארו B4/לגאסי,R אוט׳ סדאן 4 דל 2.0 (150 כ״ס) [2009-2012],2009 • יד 1,,"14,500 ₪",,https://www.yad2.co.il://item/w0n2nzzs,
סובארו XV,2.0I אוט׳ 2.0 (150 כ״ס) [2016-2018],2017 • יד 2,,"60,000 ₪",,https://www.yad2.co.il://item/yoi460tx,
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2014-2016],2014 • יד 3,,"32,000 ₪",,https://www.yad2.co.il://item/paftj882,
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2020 • יד 1,,"99,000 ₪",,https://www.yad2.co.il://item/wc714van,
סובארו XV,2.0 Classic אוט׳ 2.0 (156 כ״ס),2018 • יד 2,,"80,000 ₪",,https://www.yad2.co.il://item/0ns11njq,
סובארו XV,Crosstrek אוט׳ 2.0 (152 כ״ס),2021 • יד 1,סמלת כמו חדש,"113,900 ₪","2,178 ₪ (60 חודשים)",https://www.yad2.co.il://item/nkbhr3hx,https://img.yad2.co.il/Pic/202504/16/1_8/o/xml_1_9955247617_20250416060417.jpg?w=3840&h=3840&c=9
סובארו אימפרזה,4X4 RXI אוט׳ סדאן 4 דל 2.0 (150 כ״ס),2009 • יד 2,טרייד אין של שמשון,"10,000 ₪",,https://www.yad2.co.il://item/xtldkk9v,https://img.yad2.co.il/Pic/202505/07/1_8/o/y2_1pa_010543_20250507164955.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2023 • יד 1,אופרייט,"140,000 ₪",,https://www.yad2.co.il://item/mfkjyj9o,https://img.yad2.co.il/Pic/202504/02/1_3/o/y2_1pa_010552_20250402120359.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,1.6I אוט׳ 1.6 (114 כ״ס),2014 • יד 2,יניב אוטו,"24,900 ₪",,https://www.yad2.co.il://item/a30d3qjd,https://img.yad2.co.il/Pic/202504/17/1_8/o/y2_1pa_010681_20250417175411.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X אוט׳ 2.5 (182 כ״ס),2023 • יד 1,יורודרייב - מתקדמים לפרימיום,"141,000 ₪",,https://www.yad2.co.il://item/5j542hs6,https://img.yad2.co.il/Pic/202503/05/1_3/o/y2_11pa_010972_20250305102730.jpeg?w=3840&h=3840&c=9
