product_id,seller_id,title,current_price,was_price,location,image_url,product_url,tags,first_seen_date,last_seen_date,closing_date
7375102279740,6646745530428,ספה נפתחת לאירוח בצבע חול,₪900,,בת חפר,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_07241_20220419183312_c29b901e-ac46-422a-b1d2-53c24ca296b5_large.jpg?v=1717908033,https://market.yad2.co.il/collections/ריהוט/products/ספה-נפתחת-לאירוח-בצבע-חול,,2025-05-20,2025-05-25,
7375254126652,6646794059836,2 ריפוד ליחיד soderhamn טורקיז,₪250,,אשדוד,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010468_20240718101833_large.jpg?v=1721287119,https://market.yad2.co.il/collections/ריהוט/products/2-ריפוד-ליחיד-soderhamn-טורקיז,,2025-05-20,2025-05-25,
7375322447932,6646852976700,ספה לסלון,"₪1,200","₪1,300",ראשון לציון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010296_20240704202235_large.jpg?v=1720113762,https://market.yad2.co.il/collections/ריהוט/products/ספה-לסלון-1,,2025-05-20,2025-05-25,
7375404761148,6646939418684,סלון אורך 3.20 מ' במצב מעולה,"₪1,350","₪1,500",דימונה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_09919_20221115173710_059aaef3-3426-4c90-9b9d-bb8a99466f5e_large.jpg?v=1717778861,https://market.yad2.co.il/collections/ריהוט/products/סלון-אורך-3-20-מ-במצב-מעולה,,2025-05-20,2025-05-25,
7375440707644,6646949838908,שזלונג,₪500,₪600,באר שבע,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010895_20240628120620_large.jpg?v=1719565586,https://market.yad2.co.il/collections/ריהוט/products/שזלונג-1,,2025-05-20,2025-05-25,
7375700525116,6647067148348,2 כורסאות מדליקות,₪500,₪600,חצור הגלילית,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1pa_010189_20250515204759_large.jpg?v=1747331303,https://market.yad2.co.il/collections/ריהוט/products/3-מושבים-וינטאז-נפתחת-למיטה,,2025-05-20,2025-05-25,
7375707897916,6647068524604,ספה 3 מטר אורך מדהימה,₪800,₪900,ראש פינה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010614_20240715201416_large.jpg?v=1721063663,https://market.yad2.co.il/collections/ריהוט/products/ספה-3-מטר-אורך-מדהימה,,2025-05-20,2025-05-25,
7376458448956,6647491362876,ספה דו מושבית,₪400,₪500,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_05638_20221102203602_1cca0c40-af2c-4172-858f-1a542a594344_large.jpg?v=1717705562,https://market.yad2.co.il/collections/ריהוט/products/ספה-דו-מושבית-4,,2025-05-20,2025-05-25,
7376813719612,6647585439804,"ספא 280 ס?מ , ועוד הדום","₪1,550","₪1,700",רמת השרון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010672_20250518115035_large.jpg?v=1747558264,https://market.yad2.co.il/collections/ריהוט/products/ספא-280-ס-מ-ועוד-הדום,,2025-05-20,2025-05-25,
7376936796220,7158987227196,ספה,₪400,₪500,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010039_20250513072654_large.jpg?v=1747110432,https://market.yad2.co.il/collections/ריהוט/products/ספה-ארוכה,,2025-05-20,2025-05-25,
7377176887356,6647649632316,ספה לסלון,₪900,,קרית אונו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_02960_20231205100324_e9a252ca-cc40-41cc-a44a-76bc70ca31ba_large.jpg?v=1717621164,https://market.yad2.co.il/collections/ריהוט/products/ספה-לסלון-8,,2025-05-20,2025-05-25,
7379105775676,6647747575868,ספה זוגית,"₪1,500",,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_2_07050_20230725082020_6d420071-41b6-48f7-9f3d-60ef94d0321d_large.jpg?v=1717525859,https://market.yad2.co.il/collections/ריהוט/products/ספה-זוגית-2,,2025-05-20,2025-05-25,
7380837171260,6648012570684,ספה,₪499,,קיסריה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_05073_20240308160631_1adfbbb5-712f-4449-9097-6db59f6d039e_large.jpg?v=1717708171,https://market.yad2.co.il/collections/ריהוט/products/ספה-gedffce70,,2025-05-20,2025-05-25,
7381870247996,6647368089660,ספה דו במצב טוב,₪500,₪600,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_07318_20240211133754_d97d9038-a4bb-4722-ad28-d091113cc170_large.jpg?v=1717924711,https://market.yad2.co.il/collections/ריהוט/products/ספה-דו-במצב-טוב,,2025-05-20,2025-05-25,
7382083174460,6648447664188,ספה נפתחת למיטה חדשה!,"₪1,000","₪1,200",באר שבע,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010149_20250504083908_large.jpg?v=1746337181,https://market.yad2.co.il/collections/ריהוט/products/ספה-נפתחת-למיטה-חדשה,,2025-05-20,2025-05-25,
7382910697532,6649044467772,סלון אורך 3.20 מהמם,"₪1,800","₪2,000",רמת גן,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_3_02198_20220921081328_c4ca9516-aeb2-4158-b00d-35c7b4fc28f1_large.jpg?v=1717859039,https://market.yad2.co.il/collections/ריהוט/products/סלון-אורך-3-20-מהמם,,2025-05-20,2025-05-25,
7383162159164,6647285219388,ספת איקאה נוחה במיוחד,₪900,"₪1,000",חיפה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_02338_20230709134359_2ad11832-329b-4928-925c-4e7485201527_large.jpg?v=1717855776,https://market.yad2.co.il/collections/ריהוט/products/ספת-איקאה-נוחה-במיוחד,,2025-05-20,2025-05-25,
7383258333244,6649085526076,ספה 4 מושבים,"₪1,500","₪2,500",ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010118_20250504011839_large.jpg?v=1746310838,https://market.yad2.co.il/collections/ריהוט/products/ספה-4-מושבים-3,,2025-05-20,2025-05-25,
7383274946620,6649092735036,ספת סלון איקאה soderhamn,"₪1,150","₪1,250",גן יבנה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_02185_20231224075341_9868fb1e-af9e-4f32-90bb-f663e0ea0b37_large.jpg?v=1743309736,https://market.yad2.co.il/collections/ריהוט/products/ספת-סלון-איקאה-soderhamn,,2025-05-20,2025-05-25,
7383300767804,6649100894268,ספה 5 מושבים גדולה,₪800,₪900,צפת,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_09615_20230831062932_399b0ef2-d06c-41c1-b2cc-d13601a0e57b_large.jpg?v=1717907425,https://market.yad2.co.il/collections/ריהוט/products/ספה-5-מושבים-גדולה,,2025-05-20,2025-05-25,
7385246564412,6652062990396,סלון פינתי,₪900,,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_06750_20230807224924_1308fb37-b971-4094-a1fc-67090cad49c3_large.jpg?v=1717648647,https://market.yad2.co.il/collections/ריהוט/products/סלון-פינתי-50,,2025-05-20,2025-05-25,
7386908852284,6647905026108,ספה שזלונג,₪950,"₪1,100",נתניה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_04232_20240311160336_4b3a6213-bcd6-4659-86ef-29ca17b3692d_large.jpg?v=1717925609,https://market.yad2.co.il/collections/ריהוט/products/ספה-שזלונג-4,,2025-05-20,2025-05-25,
7386936770620,6653572087868,ספה פינתית,"₪1,400",,כפר סבא,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_05126_20240106215419_1ba05f6f-656f-41ad-8ac1-07f9c197b8cf_large.jpg?v=1717764546,https://market.yad2.co.il/collections/ריהוט/products/ספה-פינתית-39,,2025-05-20,2025-05-25,
7387542782012,6651478310972,סלון בד איכותי,"₪1,000","₪1,200",ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010372_20250514084124_large.jpg?v=1747201301,https://market.yad2.co.il/collections/ריהוט/products/סלון-בד-איכותי,,2025-05-20,2025-05-25,
7389516398652,6649097420860,ספה דו מושבית בצבע אוף וואיט,"₪1,200",,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_03097_20231205180328_584a63c2-7d5d-48dc-bf24-84bfd0fe9960_large.jpg?v=1717853913,https://market.yad2.co.il/collections/ריהוט/products/ספה-דו-מושבית-בצבע-אוף-וואיט,,2025-05-20,2025-05-25,
7390300241980,6657994326076,ספא של 2 מושבים,₪500,,יהוד מונוסון,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_07805_20230522150725_c9e11a34-1514-4797-b61b-464c9f5d3ab2_large.jpg?v=1717922139,https://market.yad2.co.il/collections/ריהוט/products/ספא-של-2-מושבים,,2025-05-20,2025-05-25,
7409890590780,6665435480124,ספה 2 מושבים,₪650,,באר שבע,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_08069_20230713080055_96d97775-2807-4789-9950-31d02b376282_large.jpg?v=1717323401,https://market.yad2.co.il/collections/ריהוט/products/ספה-2-מושבים-7,,2025-05-20,2025-05-25,
7429831622716,6668819988540,ספת 3 וספת 2,"₪2,000",,חיפה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_09085_20230611210058_2cadb0f1-909d-45a3-9659-e3974b6b8d36_large.jpg?v=1717702188,https://market.yad2.co.il/collections/ריהוט/products/ספת-3-וספת-2,,2025-05-20,2025-05-25,
7430948945980,6669276708924,ספה 3 מטר אפורה מבד רחיץ,"₪1,400","₪1,500",קרית מלאכי,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_03076_20220803173324_c2d2918b-f101-4e6c-bea1-3a7157d97afb_large.jpg?v=1717922789,https://market.yad2.co.il/collections/ריהוט/products/ספה-3-מטר-אפורה-מבד-רחיץ,,2025-05-20,2025-05-25,
7434001186876,6647248781372,ספת פינתי נטוזי עור משובח שמור,₪750,₪950,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010155_20240709103245_large.jpg?v=1720510371,https://market.yad2.co.il/collections/ריהוט/products/ספת-פינתי-נטוזי-עור-משובח-שמור,,2025-05-20,2025-05-25,
7438266204220,6670221705276,כורסא פינתית בד אפור,₪500,,נתניה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_01635_20220601073452_11619bd2-ce9f-4a23-afd6-8c030d726079_large.jpg?v=1717915627,https://market.yad2.co.il/collections/ריהוט/products/כורסא-פינתית-בד-אפור,,2025-05-20,2025-05-25,
7438282686524,6651478671420,ספה 3 מושבים משולבת עם משטח עץ,"₪1,850","₪2,100",אורנית,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010524_20250425150703_large.jpg?v=1745582879,https://market.yad2.co.il/collections/ריהוט/products/ספה-3-מושבים-משולבת-עם-משטח-עץ,,2025-05-20,2025-05-25,
7445302116412,6649100894268,ספה עור איטלקית איכותית,"₪1,400","₪1,600",צפת,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010634_20250518150559_large.jpg?v=1747569979,https://market.yad2.co.il/collections/ריהוט/products/ספה-עור-איטלקית-איכותית,,2025-05-20,2025-05-25,
7467223187516,6669435928636,סלון 2+3,"₪1,600","₪1,900",פתח תקווה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_09942_20240422121541_a1798500-1589-4752-bab4-65edba7cca81_large.jpg?v=1717924759,https://market.yad2.co.il/collections/ריהוט/products/סלון-2-47,,2025-05-20,2025-05-25,
7490629042236,6647172497468,ספה כחדשה ממש!!,"₪1,490",,ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010765_20240610191641_large.jpg?v=1718036210,https://market.yad2.co.il/collections/ריהוט/products/ספה-כחדשה-ממש-1,,2025-05-20,2025-05-25,
7518691950652,6691141124156,ספה מיוחדת נקנתה ברשת Casa,"₪1,700","₪1,900",רחובות,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_09109_20240503223919_cbcde488-1c77-476a-ab7c-0224d5d3194d_large.jpg?v=1717096654,https://market.yad2.co.il/collections/ריהוט/products/ספה-מיוחדת-נקנתה-ברשת-casa,,2025-05-20,2025-05-25,
7530385604668,6653623337020,ספא שניקנתה לפניי חצי שנה,"₪1,000",,טירת כרמל,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_1_09806_20240507211714_8fac2cce-3240-4605-9118-a2f0762d9aab_large.jpg?v=1716328985,https://market.yad2.co.il/collections/ריהוט/products/ספא-שניקנתה-לפניי-חצי-שנה,,2025-05-20,2025-05-25,
7541059878972,6647330340924,ספה,"₪1,900","₪2,200",רמת גן,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010596_20250519110224_large.jpg?v=1747641782,https://market.yad2.co.il/collections/ריהוט/products/ספה-g1996397d,,2025-05-20,2025-05-25,
7550443782204,6705246273596,כורסא,"₪1,300","₪2,000",נתניה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010200_20250427093832_large.jpg?v=1745735931,https://market.yad2.co.il/collections/ריהוט/products/כורסת-מעצבים-4,,2025-05-20,2025-05-25,
7567637119036,6668766445628,ספות חדשות באריזה במחירי יד 2,₪999,,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_2_01343_20240520163327_014d0976-7157-4ee4-9f09-e3ac41f1524e_large.jpg?v=1747721032,https://market.yad2.co.il/collections/ריהוט/products/ספות-חדשות-באריזה-במחירי-יד-3,,2025-05-20,2025-05-25,
7596249940028,6774079356988,ספה,"₪1,100",,כפר סבא,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010457_20250505155905_large.jpg?v=1746449960,https://market.yad2.co.il/collections/ריהוט/products/ספה-g78035556,,2025-05-20,2025-05-25,
